VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-04-01 00:06:16,2019-04-01 00:18:58,1,3.60,1,N,79,48,2,13,3,0.5,0,0,0.3,16.8,2.5
2,2019-04-01 00:29:37,2019-04-01 00:35:21,5,.95,1,N,144,148,1,6,0.5,0.5,1,0,0.3,10.8,2.5
1,2019-04-01 00:32:12,2019-04-01 01:04:18,2,18.80,2,N,132,166,2,52,0,0.5,0,6.12,0.3,58.92,0
1,2019-04-01 00:50:53,2019-04-01 00:50:58,1,.00,1,N,7,7,3,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-04-01 00:02:55,2019-04-01 00:10:21,1,1.60,1,N,162,50,2,7.5,3,0.5,0,0,0.3,11.3,2.5
1,2019-04-01 00:11:18,2019-04-01 00:31:40,1,5.60,1,N,246,255,1,19.5,3,0.5,5.85,6.12,0.3,35.27,2.5
1,2019-04-01 00:57:16,2019-04-01 01:03:08,1,1.40,1,N,170,137,2,7,3,0.5,0,0,0.3,10.8,2.5
1,2019-04-01 00:05:22,2019-04-01 00:08:03,0,.70,1,N,137,107,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5
1,2019-04-01 00:06:43,2019-04-01 00:09:09,2,.70,1,N,249,211,2,4.5,3,0.5,0,0,0.3,8.3,2.5
2,2019-04-01 00:44:47,2019-04-01 00:50:47,2,1.55,1,N,50,246,1,7,0.5,0.5,2.7,0,0.3,13.5,2.5
2,2019-04-01 00:52:43,2019-04-01 00:57:45,1,.93,1,N,246,68,1,6,0.5,0.5,0,0,0.3,9.8,2.5
2,2019-04-01 00:21:53,2019-04-01 00:22:35,3,.04,1,N,75,75,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-05-01 00:14:50,2019-05-01 00:16:48,1,.00,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2019-05-01 00:35:54,2019-05-01 00:37:27,1,1.50,1,N,145,145,2,3,0.5,0.5,0,0,0.3,4.3,0
1,2019-05-01 00:37:45,2019-05-01 00:37:49,1,1.50,1,N,145,145,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-05-01 00:44:57,2019-05-01 00:50:11,1,.70,1,N,161,161,2,5,3,0.5,0,0,0.3,8.8,2.5
1,2019-05-01 00:59:48,2019-05-01 01:10:22,1,2.00,1,N,163,141,1,9.5,3,0.5,2,0,0.3,15.3,2.5
2,2019-05-01 00:48:04,2019-05-01 00:49:00,1,.00,1,N,193,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,2019-05-01 00:05:26,2019-05-01 00:05:34,1,.00,1,N,193,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
1,2019-05-01 00:23:20,2019-05-01 00:32:57,1,2.50,1,N,260,56,2,10,0.5,0.5,0,0,0.3,11.3,0
1,2019-05-01 00:35:54,2019-05-01 00:47:49,1,2.80,1,N,56,226,2,11.5,0.5,0.5,0,0,0.3,12.8,0
1,2019-05-01 00:20:12,2019-05-01 00:26:52,1,2.00,1,N,79,164,1,8,3,0.5,2.35,0,0.3,14.15,2.5
1,2019-05-01 00:34:34,2019-05-01 00:48:27,1,3.70,1,N,90,238,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5
2,2019-04-30 20:55:04,2019-04-30 21:15:19,1,2.09,1,N,162,230,2,13,0.5,0.5,0,0,0.3,16.8,2.5
1,2019-05-01 00:07:15,2019-05-01 00:19:41,1,2.50,1,N,50,170,1,11,3,0.5,2.95,0,0.3,17.75,2.5
1,2019-05-01 00:16:48,2019-05-01 00:27:37,1,2.50,1,N,230,141,1,10,3,0.5,2.75,0,0.3,16.55,2.5
1,2019-05-01 00:42:15,2019-05-01 00:47:48,1,1.70,1,N,162,107,1,7,3,0.5,2.16,0,0.3,12.96,2.5
2,2019-05-01 00:14:25,2019-05-01 00:23:22,1,1.28,1,N,116,42,1,8,0.5,0.5,2,0,0.3,11.3,0
2,2019-05-01 00:51:50,2019-05-01 00:57:35,1,1.49,1,N,238,166,1,7,0.5,0.5,1.66,0,0.3,9.96,0
1,2019-05-01 00:05:30,2019-05-01 00:21:08,1,4.70,1,N,249,43,1,16.5,3,0.5,4.05,0,0.3,24.35,2.5
1,2019-05-01 00:40:34,2019-05-01 00:48:08,1,2.00,1,N,142,236,1,8.5,3,0.5,1.5,0,0.3,13.8,2.5
1,2019-05-01 00:01:12,2019-05-01 00:28:54,2,11.50,1,N,138,190,1,34,0.5,0.5,7.06,0,0.3,42.36,0
1,2019-05-01 00:41:43,2019-05-01 00:48:40,2,1.30,1,N,181,49,1,7,0.5,0.5,2.05,0,0.3,10.35,0
2,2019-05-01 00:18:04,2019-05-01 00:23:26,1,1.05,1,N,238,24,1,6,0.5,0.5,1.46,0,0.3,8.76,0
2,2019-05-01 00:12:27,2019-05-01 00:56:50,1,18.83,2,N,132,48,1,52,0,0.5,11.06,0,0.3,66.36,2.5
2,2019-05-01 00:17:54,2019-05-01 22:54:26,2,18.18,2,N,132,230,2,52,0,0.5,0,6.12,0.3,61.42,2.5
