dispatching_base_num,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,SR_Flag
B00248,2020-01-01 00:52:49,2020-01-01 01:05:38,264,171,
B00248,2020-01-01 00:43:18,2020-01-01 01:50:27,264,265,
B00248,2020-01-01 00:09:43,2020-01-01 00:20:46,264,192,
B00248,2020-01-01 00:31:19,2020-01-01 01:03:48,264,92,
B00248,2020-01-01 00:56:13,2020-01-01 01:06:16,264,171,
B00248,2020-01-01 00:02:00,2020-01-01 00:12:04,264,92,
B00248,2020-01-01 00:36:14,2020-01-01 00:42:20,264,73,
B00248,2020-01-01 00:46:30,2020-01-01 00:53:00,264,92,
B00248,2020-01-01 00:55:37,2020-01-01 01:10:27,264,16,
B00248,2020-01-01 00:34:32,2020-01-01 00:43:51,264,53,
B00248,2020-01-01 00:54:59,2020-01-01 01:04:25,264,16,
B00254,2020-01-01 00:44:05,2020-01-01 01:06:36,239,107,
B00254,2020-01-01 00:33:29,2020-01-01 00:38:38,43,236,
B00254,2020-01-01 00:40:09,2020-01-01 01:04:55,236,33,
B00254,2020-01-01 00:22:51,2020-01-01 00:35:41,237,170,
B00254,2020-01-01 00:41:20,2020-01-01 01:07:52,13,37,
B00254,2020-01-01 00:27:49,2020-01-01 00:58:49,13,208,
B00254,2020-01-01 00:06:45,2020-01-01 00:37:59,163,225,
B00254,2020-01-01 00:42:16,2020-01-01 00:59:45,148,162,
B00254,2020-01-01 00:13:04,2020-01-01 00:49:07,13,265,
B00256,2020-01-01 00:29:46,2020-01-01 00:51:12,264,264,
B00256,2020-01-01 00:34:03,2020-01-01 01:07:47,264,264,
B00256,2020-01-01 00:22:30,2020-01-01 00:40:59,264,264,
B00256,2020-01-01 00:57:12,2020-01-01 01:39:57,264,264,
B00256,2020-01-01 00:58:45,2020-01-01 01:19:32,264,264,
B00256,2020-01-01 00:31:12,2020-01-01 01:06:50,264,264,
B00256,2020-01-01 00:27:16,2020-01-01 00:34:10,264,264,
B00256,2020-01-01 00:49:50,2020-01-01 01:47:34,264,264,
B00256,2020-01-01 00:32:04,2020-01-01 00:47:50,264,264,
B00256,2020-01-01 00:26:50,2020-01-01 00:41:35,264,264,
B00256,2020-01-01 00:17:38,2020-01-01 01:00:53,264,264,
B00256,2020-01-01 00:38:29,2020-01-01 01:11:58,264,264,
B00256,2020-01-01 00:13:07,2020-01-01 00:57:12,264,264,
B00256,2020-01-01 00:34:29,2020-01-01 00:55:33,264,264,
B00256,2020-01-01 00:05:45,2020-01-01 00:51:15,264,264,
B00256,2020-01-01 00:20:40,2020-01-01 00:50:48,264,264,
B00256,2020-01-01 00:34:09,2020-01-01 01:04:38,264,264,
B00256,2020-01-01 00:57:54,2020-01-01 01:15:52,264,264,
B00256,2020-01-01 00:35:01,2020-01-01 00:47:44,264,264,
B00256,2020-01-01 00:35:11,2020-01-01 00:51:46,264,264,
B00256,2020-01-01 00:50:04,2020-01-01 01:38:48,264,264,
B00256,2020-01-01 00:34:29,2020-01-01 01:32:05,264,264,
B00256,2020-01-01 00:47:39,2020-01-01 01:24:47,264,264,
B00256,2020-01-01 00:51:13,2020-01-01 01:29:39,264,264,
B00256,2020-01-01 00:49:39,2020-01-01 01:19:32,264,264,
B00256,2020-01-01 00:58:09,2020-01-01 01:57:51,264,264,
B00256,2020-01-01 00:24:50,2020-01-01 00:44:53,264,264,
B00256,2020-01-01 00:18:15,2020-01-01 00:43:36,264,264,
B00256,2020-01-01 00:49:09,2020-01-01 01:39:39,264,264,
B00256,2020-01-01 00:14:05,2020-01-01 00:50:03,264,264,
B00256,2020-01-01 00:49:30,2020-01-01 01:07:52,264,264,
B00256,2020-01-01 00:19:06,2020-01-01 00:23:46,264,264,
B00256,2020-01-01 00:46:01,2020-01-01 01:23:23,264,264,
B00256,2020-01-01 00:46:21,2020-01-01 01:17:47,264,264,
B00256,2020-01-01 00:15:54,2020-01-01 00:33:44,264,264,
B00256,2020-01-01 00:55:13,2020-01-01 01:39:01,264,264,
B00256,2020-01-01 00:12:59,2020-01-01 00:56:10,264,264,
B00271,2020-01-01 00:36:22,2020-01-01 00:37:07,264,237,
B00271,2020-01-01 00:19:58,2020-01-01 00:23:21,264,202,
B00271,2020-01-01 00:06:20,2020-01-01 00:50:10,264,162,
B00271,2020-01-01 00:18:53,2020-01-01 00:19:15,264,162,
B00271,2020-01-01 00:18:48,2020-01-01 00:35:47,264,237,
B00271,2020-01-01 00:53:21,2020-01-01 02:09:51,264,265,
B00272,2020-01-01 00:52:20,2020-01-01 01:51:00,264,264,
B00272,2020-01-01 00:30:00,2020-01-01 00:59:00,264,264,
B00272,2020-01-01 00:27:14,2020-01-01 03:30:00,264,264,
B00290,2020-01-01 00:16:18,2020-01-01 00:38:10,73,73,
B00310,2020-01-01 00:30:20,2020-01-01 00:48:42,264,136,
B00310,2020-01-01 00:39:48,2020-01-01 01:04:55,264,243,
B00310,2020-01-01 00:56:35,2020-01-01 01:12:10,264,182,
B00310,2020-01-01 00:17:07,2020-01-01 00:28:22,264,119,
B00310,2020-01-01 00:23:07,2020-01-01 00:38:16,264,75,
B00310,2020-01-01 00:36:04,2020-01-01 00:41:19,264,250,
B00310,2020-01-01 00:55:09,2020-01-01 01:13:54,264,212,
B00310,2020-01-01 00:13:33,2020-01-01 00:56:15,264,174,
B00310,2020-01-01 00:44:12,2020-01-01 00:51:45,264,212,
B00310,2020-01-01 00:05:23,2020-01-01 00:19:38,264,235,
